sent_id,token_idx,token,ngram_surp,ft_outlier,log_freq,char_len,label,lr_score
s33,0,и,2.1668378528501915,0.009745776653289795,5.318119993844216,1.0,0,4.942043114731076e-08
s33,1,не,3.1675176794022306,0.0092734694480896,4.882801922586371,2.0,0,5.641496497848688e-06
s33,2,пребудет,5.039972772051707,0.0005266666412353516,1.0986122886681098,8.0,0,0.0016445312940470578
s33,3,в,5.054484709194364,0.00960993766784668,4.1588830833596715,1.0,0,0.04580191949516827
s33,4,стех,7.2487806758904885,0.0018391609191894531,0.6931471805599453,4.0,1,0.990230621576724
s33,5,скорби,6.408992448435827,0.0005878806114196777,1.6094379124341003,6.0,0,0.7565553586452787
s33,6,твоеа,6.015849811121979,0.0014796257019042969,1.3862943611198906,5.0,0,0.25292327877749704
s340,0,и,2.2636066915010424,0.009102165699005127,5.318119993844216,1.0,0,7.904759302156534e-08
s340,1,не,3.909513621231423,0.009336113929748535,4.882801922586371,2.0,0,0.0002611217957437357
s340,2,накладаи,7.451004495699444,0.0005934834480285645,0.0,8.0,0,0.9932015967818769
s340,3,на,5.830610341489082,0.007006824016571045,3.8501476017100584,2.0,0,0.6373856255398449
s340,4,огнь,6.612377766323245,0.0007492303848266602,0.6931471805599453,4.0,0,0.7826051359940667
s340,5,его,6.670736626420659,0.003761470317840576,3.044522437723423,3.0,0,0.981740063049736
s340,6,дровъ,7.98409345485784,0.000838160514831543,0.0,5.0,0,0.9995526176142162
s242,0,не,4.0954080877562635,0.006737112998962402,4.882801922586371,2.0,0,0.0006037779454356709
s242,1,можетъ,7.41253924046977,0.0008996129035949707,0.0,6.0,0,0.9916329634596714
s242,2,ꙗрость,7.215916972392189,0.0016127824783325195,0.0,6.0,0,0.9779665120411382
s242,3,неправ,7.16253392824571,0.0017231106758117676,1.0986122886681098,6.0,0,0.9898969893561725
s242,4,да,6.73596187034202,0.004189014434814453,2.8903717578961645,2.0,0,0.9849317402689716
s242,5,оправ,7.197574038200479,0.0004228949546813965,0.6931471805599453,5.0,0,0.9866186521338224
s242,6,дити,7.341018717505195,0.000467836856842041,0.0,4.0,0,0.9873908376574057
s242,7,сѧ,4.6025227780634665,0.007279813289642334,4.23410650459726,2.0,0,0.004520683117219412
s138,0,и,2.2636066915010424,0.00793147087097168,5.318119993844216,1.0,0,7.483702146744495e-08
s138,1,не,3.909513621231423,0.0130729079246521,4.882801922586371,2.0,0,0.00031095743871652367
s138,2,приимет,7.4083556857824835,0.005148530006408691,0.0,7.0,0,0.993067197788252
s138,3,лица,7.030785307110731,0.0022481679916381836,1.9459101490553132,4.0,0,0.9911934008376295
s138,4,о,6.808260860866225,0.07890915870666504,2.70805020110221,1.0,0,0.9996136151133446
s138,5,ꙋбоѕѣм,7.977558841900466,0.004299521446228027,0.0,6.0,0,0.9996112404194153
s47,0,и,3.2591441802102725,0.007765829563140869,5.318119993844216,1.0,0,1.2697681906316992e-05
s47,1,введи,7.630432243861032,0.0018695592880249023,0.0,5.0,0,0.9973573540926074
s47,2,ноѕѣ,7.213244303565685,0.0014753341674804688,0.0,4.0,0,0.9769740395693353
s47,3,свои,7.273051087630853,0.007558763027191162,0.0,4.0,0,0.9871459527267856
s47,4,в,6.025290737162374,0.013516128063201904,4.1588830833596715,1.0,0,0.8965982485205569
s47,5,пута,7.24431246728652,0.00189131498336792,0.6931471805599453,4.0,0,0.990028921461683
s47,6,еѧ,6.383795358455797,0.0011846423149108887,1.3862943611198906,2.0,0,0.6826934477672962
s451,0,се,5.548629575208464,0.0016237497329711914,1.3862943611198906,2.0,0,0.02856354169188029
s451,1,книги,5.28845135876611,0.0001672506332397461,0.6931471805599453,5.0,0,0.0037902788004294907
s451,2,ꙁавѣта,6.00313411875435,0.00023317337036132812,0.6931471805599453,6.0,0,0.13413144099469806
s451,3,бга,7.150797389269098,0.0008501410484313965,1.0986122886681098,3.0,0,0.988411325020502
s451,4,вы,7.1125089808168,0.0010045766830444336,1.3862943611198906,2.0,0,0.9892423508312824
s451,5,шнѧго,7.964225080264475,0.00031298398971557617,0.0,5.0,0,0.9994919789842706
s233,0,корень,7.960242789736791,0.00046497583389282227,0.0,6.0,0,0.9994914510511906
s233,1,пре,7.213244303565685,0.0016182661056518555,0.0,3.0,0,0.9768445826501772
s233,2,мꙋдрости,7.213244303565685,0.001229703426361084,0.0,8.0,0,0.9778179660924263
s233,3,комꙋ,7.215916972392189,0.0005887150764465332,0.0,4.0,0,0.9763437262281267
s233,4,л,7.260118685868656,0.013022184371948242,1.0986122886681098,1.0,1,0.996146661774428
s233,5,сѧ,4.60329313668991,0.007317304611206055,4.23410650459726,2.0,0,0.004546543800000416
s296,0,ꙁаповѣди,7.804665098770559,0.0012021660804748535,1.0986122886681098,8.0,1,0.9996300044596634
s296,1,бо,6.736782119452109,0.006099343299865723,2.8903717578961645,2.0,0,0.9862590362754704
s296,2,ꙁла,7.1637883054648075,0.0022580623626708984,1.0986122886681098,3.0,0,0.9898390821459503
s296,3,та,7.192480565588749,0.0008714199066162109,0.6931471805599453,2.0,0,0.9860444060803825
s296,4,есть,6.941685671216108,0.002395927906036377,2.3978952727983707,4.0,0,0.9910511139379994
s296,5,на,5.4723815848138315,0.0060350894927978516,3.8501476017100584,2.0,0,0.20890597001973854
s296,6,неи,5.610893970112982,0.005131721496582031,1.791759469228055,3.0,0,0.06682437336924986
s404,0,чадо,6.019413955205891,0.002427339553833008,1.791759469228055,4.0,0,0.3450925154312006
s404,1,грѣшныхъ,7.194349093885926,0.0007347464561462402,0.6931471805599453,8.0,0,0.9870753972821766
s404,2,наслѣдїе,7.214589664049649,0.0008018016815185547,0.0,8.0,0,0.9775329200489906
s404,3,погибнетъ,7.342666074636185,0.0008605718612670898,0.0,9.0,0,0.988451957595908
s404,4,и,4.688237879761411,0.007820963859558105,5.318119993844216,1.0,0,0.020021868593024128
s404,5,с,5.837077634102947,0.02004939317703247,3.5553480614894135,1.0,0,0.7129498757320777
s404,6,сѣменемъ,7.274787058703119,0.000352323055267334,0.0,8.0,0,0.9830911407938067
s404,7,ихъ,6.906121975125915,0.004021048545837402,2.3978952727983707,3.0,0,0.9899205550961208
s404,8,бꙋдетъ,7.155128723241003,0.0028148293495178223,1.0986122886681098,6.0,0,0.9900242208237078
s404,9,поношенїе,7.962915458563295,0.0007930994033813477,0.0,9.0,0,0.9995241114768162
